#sgRNA,DMSO_B1,DMSO_B2,Novo_B1,Novo_B2
sgRNA1338,5,5,5,5
sgRNA1339,1803,1698,879,1084
sgRNA1340,1610,1247,707,680
sgRNA1341,2618,2198,1017,1146
sgRNA1342,468,393,262,304
sgRNA1343,1629,1237,936,1019
sgRNA1350,573,579,13,11
sgRNA1351,315,249,10,8
sgRNA1352,2758,2160,15,14
sgRNA1353,2426,1914,15,13
sgRNA1354,389,314,11,8
sgRNA1355,98,73,9,7
sgRNA1362,3327,2489,2484,2430
sgRNA1363,4087,3012,2210,2245
sgRNA1364,5,5,5,5
sgRNA1365,1811,1569,953,1073
sgRNA1366,1262,911,1048,1042
sgRNA1367,751,510,532,501
sgRNA1374,5,5,5,5
sgRNA1375,1057,839,761,692
sgRNA1376,2315,2007,1459,1534
sgRNA1377,2913,2256,2156,2252
sgRNA1378,2597,2334,1643,2053
sgRNA1384,25254,18302,21668,20369
sgRNA1385,836,706,584,654
sgRNA1388,422,361,260,279
sgRNA1389,705,532,480,519
sgRNA1390,350,311,201,293
sgRNA1391,444,348,271,286
sgRNA1396,680,529,552,519
sgRNA1397,586,468,444,480
sgRNA1398,16,14,16,12
sgRNA1399,3017,2131,2388,2127
sgRNA1404,807,621,589,612
sgRNA1405,653,484,446,458
sgRNA1406,243,195,163,181
sgRNA1407,318,367,318,367
sgRNA1408,697,582,455,502
sgRNA1410,897,805,10,10
sgRNA1411,1749,1159,14,14
sgRNA1412,395,369,7,7
sgRNA1413,3561,2891,15,15
sgRNA1414,6,6,5,5
sgRNA1415,212,179,162,191
sgRNA1416,317,256,231,229
sgRNA1417,345,275,230,239
sgRNA1418,422,306,274,327
sgRNA1419,263,233,185,225
sgRNA1420,124,102,74,71
sgRNA1421,3305,2960,2315,2632
sgRNA1422,21,20,22,18
sgRNA1423,550,498,370,460
sgRNA1424,741,520,493,480
sgRNA1425,516,392,395,365
sgRNA1431,336,217,237,191
sgRNA1432,873,634,508,534
sgRNA1433,5,5,5,5
sgRNA1434,581,477,420,457
sgRNA1435,1692,1602,1192,1422
sgRNA1436,139,101,102,102
sgRNA1437,6,6,5,5
sgRNA1438,6,5,6,5
sgRNA1439,657,528,418,451
sgRNA1440,1167,1030,868,913
sgRNA1441,2160,1606,1559,1534
sgRNA1442,1550,1247,1086,1157
sgRNA1443,56,36,36,36
sgRNA1444,1540,1227,1077,1191
sgRNA1445,40440,34801,26213,29223
sgRNA1446,514,459,294,340
sgRNA1447,583,442,395,370
sgRNA1448,963,839,591,709
sgRNA1449,1730,1422,1227,1310
sgRNA1450,475,322,310,348
sgRNA1451,2238,1937,1572,1696
sgRNA1452,1677,1348,976,1030
sgRNA1453,429,422,353,328
sgRNA1454,2803,2163,1924,2047
sgRNA1455,633,511,423,423
sgRNA1456,601,521,363,460
sgRNA1457,1053,746,733,711
sgRNA1458,548,435,332,417
sgRNA1459,156,120,119,101
sgRNA1460,954,819,660,649
sgRNA1461,5,5,5,5
sgRNA1462,818,669,542,518
sgRNA1463,121,99,82,94
sgRNA1464,1131,905,770,817
sgRNA1465,1310,1043,668,837
sgRNA1466,469,391,351,377
sgRNA1467,454,437,325,369
sgRNA1468,753,547,452,384
sgRNA1469,289,260,205,249
sgRNA1470,5,5,5,6
sgRNA1471,906,635,578,506
sgRNA1472,5,5,5,5
sgRNA1473,1477,1253,927,1063
sgRNA1474,492,441,346,360
sgRNA1475,1035,861,614,634
sgRNA1476,568,437,351,361
sgRNA1477,1862,1695,1107,1247
sgRNA1478,806,617,544,559
sgRNA1479,5,5,5,5
sgRNA1480,356,319,170,208
sgRNA1481,2463,2006,1651,1702
sgRNA1482,594,492,406,418
sgRNA1483,2040,1677,1505,1553
sgRNA1484,1624,1388,1007,1117
sgRNA1485,7,7,6,6
sgRNA1486,1331,1072,797,944
sgRNA1487,2692,2167,1623,2003
sgRNA1488,4382,3712,2769,3041
sgRNA1506,437,367,301,281
sgRNA1507,1359,1164,883,896
sgRNA1508,1058,815,585,642
sgRNA1509,1547,1095,709,729
sgRNA1510,7,6,9,6
sgRNA1511,439,416,233,276
sgRNA1512,5,5,5,5
sgRNA1513,6,5,5,7
sgRNA1514,1004,852,471,516
sgRNA1515,504,424,369,386
sgRNA1516,1101,897,701,713
sgRNA1517,2826,1949,1654,1500
sgRNA1518,643,488,322,321
sgRNA1519,222,184,90,108
sgRNA1520,791,671,346,431
sgRNA1521,336,223,203,202
sgRNA1522,749,646,444,448
sgRNA1523,728,666,341,384
sgRNA1524,1688,1413,1216,1288
sgRNA1525,5,5,5,5
sgRNA1526,375,305,241,287
sgRNA1527,838,753,368,527
sgRNA1528,111,86,62,59
sgRNA1529,161,131,84,83
sgRNA1530,1066,865,699,744
sgRNA1531,5,5,5,5
sgRNA1532,403,375,261,287
sgRNA1533,485,394,370,363
sgRNA1534,805,734,493,534
sgRNA1535,354,248,178,235
sgRNA1536,288,234,219,211
sgRNA1537,312,312,208,256
sgRNA1538,266,219,187,198
sgRNA1539,446,327,312,337
sgRNA1555,749,619,502,550
sgRNA1556,309,304,146,192
sgRNA1557,1083,908,612,636
sgRNA1558,5,5,5,5
sgRNA1559,1305,1094,789,913
sgRNA1560,604,614,287,344
sgRNA1561,1559,1268,995,1017
sgRNA1562,903,638,533,492
sgRNA1563,861,761,589,772
sgRNA1564,341,251,227,209
sgRNA1565,266,178,156,133
sgRNA1566,9,6,7,6
sgRNA1567,374,336,214,240
sgRNA1568,513,409,359,374
sgRNA1569,117,102,66,82
sgRNA1570,920,791,619,706
sgRNA1571,833,716,429,522
sgRNA1572,523,381,407,435
sgRNA1573,485,300,308,309
sgRNA1574,175,134,126,132
sgRNA1575,661,600,357,417
sgRNA1576,603,439,388,430
sgRNA1577,5,5,5,5
sgRNA1578,180,120,99,96
sgRNA1579,170,139,162,160
sgRNA1580,837,657,640,666
sgRNA1581,5,5,5,5
sgRNA1582,5,5,5,5
sgRNA1583,395,314,196,218
sgRNA1584,158,138,76,127
sgRNA1585,647,467,428,449
sgRNA1586,418,412,275,325
sgRNA1587,323,250,255,276
sgRNA1588,5,5,5,6
sgRNA1589,251,173,157,149
sgRNA1590,837,781,606,714
sgRNA1591,503,336,365,302
sgRNA1592,286,259,209,219
sgRNA1593,642,477,407,465
sgRNA1594,5,5,5,5
sgRNA1595,1792,1479,1001,1107
sgRNA1596,142,110,99,95
sgRNA1597,1332,1174,1072,1163
sgRNA1598,6,6,6,6
sgRNA1599,1051,769,581,649
sgRNA1600,714,654,378,449
sgRNA1601,348,276,223,219
sgRNA1602,316,277,131,139
sgRNA1603,341,261,231,273
sgRNA1604,731,624,462,527
sgRNA1605,492,406,333,385
sgRNA1606,405,307,320,321
sgRNA1607,465,303,251,284
sgRNA1608,463,421,254,296
sgRNA1609,386,340,210,243
sgRNA1610,5,5,5,5
sgRNA1611,179,162,135,124
sgRNA1612,181,150,116,145
sgRNA1613,6,6,5,5
sgRNA1614,287,235,156,166
sgRNA1615,280,215,217,234
sgRNA1616,482,394,258,313
sgRNA1617,1304,1148,885,978
sgRNA1618,569,393,376,360
sgRNA1619,443,347,291,248
sgRNA1620,433,319,296,303
sgRNA1621,185,136,118,122
sgRNA1622,179,144,97,127
sgRNA1623,209,204,123,145
sgRNA1624,258,203,191,200
sgRNA1625,382,299,273,277
sgRNA1626,276,242,203,207
sgRNA1627,344,281,212,225
sgRNA1628,198,153,117,129
sgRNA1629,6,6,6,5
sgRNA1630,5,5,5,5
sgRNA1631,5,5,5,5
sgRNA1632,551,366,385,354
sgRNA1633,362,367,284,323
sgRNA1634,5,5,5,5
sgRNA1635,219,222,180,201
sgRNA1636,175,121,127,120
sgRNA1637,1299,991,779,828
sgRNA1638,5,5,5,5
sgRNA1639,122,138,75,125
sgRNA1640,244,217,233,233
sgRNA1641,905,794,600,674
sgRNA1642,316,264,236,268
sgRNA1643,580,437,420,449
sgRNA1644,546,464,313,423
sgRNA1645,949,699,635,612
sgRNA1646,321,254,222,246
sgRNA1647,5,5,5,5
sgRNA1648,2184,1616,1211,1137
sgRNA1649,840,726,502,555
sgRNA1650,84,92,42,64
sgRNA1651,733,510,500,557
sgRNA1652,610,518,470,478
sgRNA1653,3209,2626,2275,2425
sgRNA1654,60,51,29,54
sgRNA1655,1184,828,738,727
sgRNA1656,3183,2106,1574,1474
sgRNA1657,2522,1979,1190,1221
sgRNA1658,243,219,217,228
sgRNA1659,2083,1651,1281,1367
sgRNA1660,5,5,5,5
sgRNA1661,4398,3302,2321,2483
sgRNA1662,1232,946,834,794
sgRNA1663,2030,1635,1432,1344
sgRNA1664,629,412,422,303
sgRNA1665,4938,4016,2682,2883
sgRNA1666,1929,1489,1364,1195
sgRNA1667,1712,1193,985,962
sgRNA1668,440,421,318,358
sgRNA1669,1576,1269,868,1043
sgRNA1670,784,639,550,562
sgRNA1671,6,6,5,6
sgRNA1672,5,5,5,5
sgRNA1673,6,5,6,5
sgRNA1674,398,334,283,289
sgRNA1675,941,686,592,582
sgRNA1676,835,687,448,553
sgRNA1677,546,453,429,390
sgRNA1678,344,334,301,357
sgRNA1679,574,412,347,321
sgRNA1680,1496,1243,858,926
sgRNA1681,5,5,5,5
sgRNA1682,40,30,32,32
sgRNA1685,613,588,330,359
sgRNA1686,122,73,77,77
sgRNA1687,245,192,105,158
sgRNA1688,173,150,138,139
sgRNA1689,326,258,211,194
sgRNA1690,5,5,5,5
sgRNA1691,137,127,75,126
sgRNA1692,121,117,88,101
sgRNA1693,102,84,64,72
sgRNA1694,145,130,77,106
sgRNA1695,169,137,71,80
sgRNA1696,309,287,163,211
sgRNA1697,450,434,243,318
sgRNA1698,242,201,124,140
sgRNA1699,97,76,71,78
sgRNA1700,229,182,107,123
sgRNA1701,179,138,140,127
sgRNA1702,254,247,163,181
sgRNA1703,90,75,61,66
sgRNA1704,12,9,11,9
sgRNA1705,107,101,49,75
sgRNA1706,158,150,116,117
sgRNA1707,114,69,86,71
sgRNA1708,170,160,159,140
sgRNA1742,533,456,372,381
sgRNA1743,857,686,583,678
sgRNA1744,301,211,186,236
sgRNA1745,5,5,5,5
sgRNA1746,190,204,136,140
sgRNA1747,250,210,127,158
sgRNA1748,6,5,5,6
sgRNA1749,78,67,60,55
sgRNA1750,146,117,89,93
sgRNA1751,176,117,93,110
sgRNA1752,193,171,168,165
sgRNA1753,222,177,114,177
sgRNA1754,942,766,554,658
sgRNA1755,103,72,66,67
sgRNA1756,5,5,5,5
sgRNA1757,79,68,34,38
sgRNA1758,134,138,89,89
sgRNA1759,115,95,74,89
sgRNA1760,5,5,5,5
sgRNA1761,24,13,15,18
sgRNA1762,193,156,89,113
sgRNA1763,174,118,88,104
sgRNA1764,5,5,5,5
sgRNA1765,223,178,111,134
sgRNA1766,5,5,5,5
sgRNA1767,5,5,5,5
sgRNA1768,5,5,5,5
sgRNA1769,5,5,5,5
sgRNA1770,5,5,5,5
sgRNA1771,226,200,103,146
sgRNA1772,2092,2021,931,1176
sgRNA1773,5,5,5,5
sgRNA1774,236,237,155,195
sgRNA1775,5,5,5,5
sgRNA1776,150,117,79,87
sgRNA1777,198,188,127,160
sgRNA1778,44,38,34,30
sgRNA1779,92,75,58,64
sgRNA1780,794,670,530,506
sgRNA1781,593,496,323,369
sgRNA1782,6,6,5,5
sgRNA1783,440,333,257,286
sgRNA1785,6,5,5,5
sgRNA1786,211,174,132,153
sgRNA1787,331,234,209,189
sgRNA1788,159,112,94,89
sgRNA1789,130,116,67,84
sgRNA1790,223,195,134,169
sgRNA1791,108,79,64,83
sgRNA1792,201,134,155,123
sgRNA1793,224,157,121,143
sgRNA1794,151,117,76,103
sgRNA1795,257,199,149,161
sgRNA1796,255,202,168,143
sgRNA1797,48,30,39,18
sgRNA1798,415,347,189,208
sgRNA1799,177,109,98,107
sgRNA1800,279,156,160,173
sgRNA1801,217,155,140,124
sgRNA1828,310,284,240,246
sgRNA1829,260,189,159,168
sgRNA1830,5,5,5,5
sgRNA1831,360,337,251,327
sgRNA1832,1125,930,547,603
sgRNA1833,718,530,329,332
sgRNA1834,280,249,207,228
sgRNA1835,295,254,253,262
sgRNA1836,2437,1757,1350,1199
sgRNA1837,374,302,272,311
sgRNA1838,216,192,89,126
sgRNA1839,443,336,275,296
sgRNA1840,5,5,6,5
sgRNA1841,330,256,209,217
sgRNA1842,5,6,6,5
sgRNA1843,307,211,177,194
sgRNA1844,52,44,40,46
sgRNA1845,122,103,87,90
sgRNA1846,391,334,328,347
sgRNA1847,969,689,485,490
sgRNA1848,282,269,188,258
sgRNA1849,254,208,163,178
sgRNA1850,329,258,187,181
sgRNA1851,507,386,271,256
sgRNA1852,651,518,374,400
sgRNA1853,186,164,127,169
sgRNA1854,1088,843,537,571
sgRNA1855,5,5,5,5
sgRNA1856,586,442,312,354
sgRNA1857,195,191,96,122
sgRNA1858,218,159,138,151
sgRNA1859,307,276,231,242
sgRNA1860,253,263,168,207
sgRNA1861,102,90,56,54
sgRNA1862,6,5,6,5
sgRNA1863,481,388,266,292
sgRNA1864,171,143,110,100
sgRNA1865,425,334,271,279
sgRNA1866,724,510,339,354
sgRNA1867,20,21,12,20
sgRNA1868,5,5,5,5
sgRNA1869,5,5,5,5
sgRNA1870,395,357,239,272
sgRNA1871,684,539,411,468
sgRNA1872,412,349,237,266
sgRNA1873,399,262,212,229
sgRNA1874,5,5,5,5
sgRNA1875,718,641,368,450
sgRNA1876,599,558,472,516
sgRNA1877,296,251,136,196
sgRNA1878,269,201,161,178
sgRNA1879,268,261,183,193
sgRNA1880,121,108,120,131
sgRNA1881,540,544,315,402
sgRNA1882,670,432,405,381
sgRNA1883,683,619,396,512
sgRNA1884,355,310,202,250
sgRNA1885,5,5,5,5
sgRNA1886,184,190,135,142
sgRNA1887,597,472,344,324
sgRNA1888,1012,733,426,496
sgRNA1889,5,5,5,5
sgRNA1890,250,198,150,196
sgRNA1891,436,327,215,213
sgRNA1892,573,384,276,289
sgRNA1893,418,302,216,188
sgRNA1894,234,218,219,206
sgRNA1895,6,5,5,6
sgRNA1896,267,230,135,153
sgRNA1897,130,107,70,63
sgRNA1898,6,7,5,6
sgRNA1899,5,5,5,5
sgRNA1900,172,148,113,122
sgRNA1901,218,132,78,72
sgRNA1902,252,176,198,178
sgRNA1903,205,158,137,121
sgRNA1904,256,158,168,148
sgRNA1905,632,496,389,414
sgRNA1906,164,128,116,123
sgRNA1907,1344,860,820,744
sgRNA1908,148,126,101,118
sgRNA1909,5,5,5,5
sgRNA1910,183,141,117,123
sgRNA1911,414,334,259,258
sgRNA1912,223,177,219,197
sgRNA1913,341,262,169,165
sgRNA1914,506,383,362,366
sgRNA1915,350,255,236,278
sgRNA1916,238,194,184,152
sgRNA1917,164,169,140,180
sgRNA1918,987,668,528,503
sgRNA1919,5,5,5,5
sgRNA1920,447,398,295,348
sgRNA1921,200,187,122,146
sgRNA1922,241,224,202,184
sgRNA1923,214,183,180,212
sgRNA1928,5,5,5,5
sgRNA1929,451,351,301,307
sgRNA1930,23,14,13,11
sgRNA1931,210,151,157,173
sgRNA1932,268,211,133,194
sgRNA1933,364,285,235,303
sgRNA1934,211,132,119,137
sgRNA1935,556,452,306,370
sgRNA1936,582,493,397,439
sgRNA1937,558,477,360,420
sgRNA1938,1224,1034,927,1010
sgRNA1939,571,468,275,303
sgRNA1940,216,169,145,158
sgRNA1941,37,35,27,29
sgRNA1942,5,5,5,5
sgRNA1943,277,235,145,200
sgRNA1944,359,332,198,281
sgRNA1945,189,152,96,87
sgRNA1946,335,285,212,218
sgRNA1947,176,147,123,108
sgRNA1948,253,182,146,166
sgRNA1949,5,5,5,5
sgRNA1950,465,351,215,256
sgRNA1951,5,5,5,5
sgRNA1952,168,143,141,140
sgRNA1953,252,190,126,138
sgRNA1954,704,621,450,513
sgRNA1955,6,5,6,5
sgRNA1956,11,12,10,11
sgRNA1957,297,271,235,212
sgRNA1958,27,18,14,16
sgRNA1959,307,300,196,203
sgRNA1960,78,49,47,43
sgRNA1961,178,129,126,120
sgRNA1962,5,5,5,5
sgRNA1963,216,148,121,114
sgRNA1964,123,90,80,104
sgRNA1965,176,133,111,118
sgRNA1966,427,334,208,237
sgRNA1967,173,111,108,84
sgRNA1968,214,158,104,133
sgRNA1969,101,66,60,61
sgRNA1970,199,149,124,134
sgRNA1971,207,153,121,134
sgRNA1972,304,207,136,126
sgRNA1973,5,5,5,5
sgRNA1974,119,113,83,97
sgRNA1975,92,93,72,82
sgRNA1976,238,194,138,149
sgRNA1977,252,164,162,147
sgRNA1978,448,359,288,267
sgRNA1979,142,126,64,73
sgRNA1980,528,424,280,319
sgRNA1981,202,184,146,197
sgRNA1982,262,206,128,145
sgRNA1983,682,515,414,394
sgRNA1984,278,222,142,144
sgRNA1985,908,647,497,495
sgRNA1986,328,281,179,208
sgRNA1987,5,5,5,5
sgRNA1988,5,5,5,5
sgRNA1989,9,10,8,8
sgRNA1990,324,269,222,218
sgRNA1991,5,5,5,6
sgRNA1992,339,275,188,263
sgRNA1993,137,101,109,83
sgRNA1994,208,185,113,149
sgRNA1995,203,149,97,106
sgRNA1996,5,5,5,6
sgRNA1997,119,118,91,86
sgRNA1998,141,114,74,91
sgRNA1999,195,173,130,154
sgRNA2000,794,540,557,445
sgRNA2001,87,76,58,43
sgRNA2002,5,5,5,5
sgRNA2003,5,5,5,5
sgRNA2004,267,230,169,216
sgRNA2005,5,5,5,5
sgRNA2006,201,137,126,130
sgRNA2008,5,5,5,5
sgRNA2009,165,118,111,95
sgRNA2010,188,118,98,107
sgRNA2011,468,391,282,341
sgRNA2012,5,5,5,5
sgRNA2013,119,127,92,101
sgRNA2014,164,136,80,92
sgRNA2015,684,558,636,665
sgRNA2016,182,125,125,122
sgRNA2017,278,230,219,202
sgRNA2018,5,6,6,6
sgRNA2019,5,5,5,5
sgRNA2020,136,91,94,96
sgRNA2021,543,439,377,410
sgRNA2022,17,18,13,11
sgRNA2023,5,5,6,5
sgRNA2026,1413,1242,1012,1159
sgRNA2027,6,6,8,5
sgRNA2028,786,576,491,549
sgRNA2029,484,352,353,328
sgRNA2030,317,251,151,200
sgRNA2031,328,279,225,222
sgRNA2033,5,5,5,5
sgRNA2034,260,233,173,180
sgRNA2035,418,304,214,266
sgRNA2036,254,188,168,140
sgRNA2037,258,160,55,57
sgRNA2038,85,83,58,73
sgRNA2039,1563,1297,1072,1146
sgRNA2040,591,471,325,336
sgRNA2041,390,319,229,282
sgRNA2042,348,306,191,216
sgRNA2043,179,102,107,89
sgRNA2044,282,193,142,149
sgRNA2045,276,154,139,124
sgRNA2046,510,338,220,211
sgRNA2047,173,127,134,134
sgRNA2048,166,141,138,123
sgRNA2049,312,270,174,219
sgRNA2050,234,206,144,154
sgRNA2051,318,306,241,241
sgRNA2052,138,90,87,73
sgRNA2053,151,146,119,129
sgRNA2054,113,61,74,56
sgRNA2055,214,168,91,113
sgRNA2056,259,221,140,181
sgRNA2057,5,5,5,5
sgRNA2058,159,107,66,81
sgRNA2059,703,546,262,307
sgRNA2060,696,633,397,444
sgRNA2061,182,174,91,125
sgRNA2062,192,180,165,173
sgRNA2063,402,386,272,335
sgRNA2064,187,124,113,123
sgRNA2065,139,100,76,74
sgRNA2066,332,268,192,218
sgRNA2067,120,102,78,84
sgRNA2068,5,5,5,5
sgRNA2069,246,215,200,202
sgRNA2070,240,214,131,161
sgRNA2071,49,27,31,21
sgRNA2072,550,384,222,276
sgRNA2073,333,240,162,167
sgRNA2074,196,165,95,133
sgRNA2075,250,192,160,172
sgRNA2076,409,299,296,246
sgRNA2077,196,131,142,131
sgRNA2078,295,250,205,227
sgRNA2079,5,5,5,5
sgRNA2080,204,146,120,128
sgRNA2081,741,561,468,354
sgRNA2082,5,5,5,5
sgRNA2083,231,209,145,172
sgRNA2773,5,5,5,5
sgRNA2774,5,5,5,5
sgRNA2775,5,5,5,5
sgRNA2776,5,5,5,5
sgRNA144,5,5,5,5