Stock ID,C109-0R-R1,C109-0R-R2,C109-01R-R1,C109-01R-R2
188,0.000625586,0.000752018,0.000786458,0.000666059
1067,0.000749625,0.000545909,0.000872776,0.000738065
448,0.000959952,0.001052825,0.001026231,0.000858076
1257,0.000717267,0.000679601,0.000661775,0.00079807
779,0.001224208,0.00110853,0.001304369,0.001218107
1073,0.000976131,0.00110853,0.000978277,0.000942083
808,0.000922201,0.001019402,0.000978277,0.000654058
857,0.000528513,0.000523627,0.000565866,0.000732064
822,0.00066873,0.000796582,0.000738503,0.000738065
806,0.000771197,0.000757588,0.000978277,0.000762067
EDC51,0.000517727,0.00055148,0.000431593,0.000468041
1209,0.000949166,0.00110853,0.000882367,0.00079207
180,0.000949166,0.001030543,0.000978277,0.000918081
EDC1689,0.000765804,0.000729736,0.000748094,0.000714063
1033,0.000614801,0.000573762,0.000594639,0.000558049
1049,0.000841306,0.000696313,0.000661775,0.000864076
EDC5,0.000679516,0.000646178,0.000623411,0.000840074
416,0.000927594,0.001130812,0.00091114,0.000660058
510,0.000825127,0.000813293,0.000824821,0.000780069
1074,0.001159492,0.000974838,0.000978277,0.001062093
627,0.000463797,0.000534768,0.000719321,0.000300026
86,0.000814341,0.0007743,0.000844003,0.000786069
1069,0.000911415,0.000696313,0.000796049,0.000786069
931,0.000533906,0.000596044,0.000537093,0.000648057
982,0.000485369,0.000428929,0.000374047,0.000486043
EDC1706,0.00041526,0.000434499,0.000498729,0.000432038
1264,0.00057705,0.000646178,0.000460365,0.000618054
796,0.000717267,0.0007743,0.000633002,0.000774068
566,0.000641765,0.000623896,0.000671366,0.000660058
823,0.00072266,0.000573762,0.00050832,0.000630055
1034,0.000879057,0.001097389,0.000776867,0.000762067
696,0.000841306,0.000841146,0.000738503,0.000828073
EDC1692,0.000690302,0.000740877,0.000633002,0.000738065
1199,0.000922201,0.000852287,0.000872776,0.000756067
783,0.000798162,0.000852287,0.000738503,0.000774068
949,0.000636372,0.000763159,0.000776867,0.000600053
431,0.000986917,0.000952556,0.000891958,0.001038091
547,0.000657944,0.000718595,0.000757685,0.000762067
1191,0.000652551,0.000752018,0.000719321,0.000852075
841,0.000949166,0.00099712,0.001266005,0.000714063
944,0.000609408,0.00066289,0.000556275,0.000648057
854,0.000932987,0.000690742,0.000997458,0.000888078
848,0.000528513,0.00077987,0.000613821,0.000438039
833,0.00072266,0.000763159,0.000585048,0.000888078
1201,0.000932987,0.000752018,0.000882367,0.000936082
EDC47,0.000571657,0.000752018,0.00081523,0.000636056
192,0.000792769,0.000846716,0.00091114,0.000888078
576,0.000447618,0.00044007,0.000575457,0.000480042
1106,0.000900629,0.000813293,0.001026231,0.000936082
EDC1696,0.000841306,0.000824434,0.000891958,0.000846074
1068,0.000630979,0.000657319,0.000834412,0.000672059
666,0.000808948,0.000863428,0.000805639,0.000696061
795,0.000663337,0.000612755,0.000776867,0.00056405
586,0.000808948,0.000807723,0.000776867,0.000768068
508,0.000485369,0.000484634,0.000700139,0.000498044
691,0.000620194,0.000401076,0.000613821,0.000714063
1032,0.000582443,0.000540339,0.000585048,0.000624055
933,0.001008489,0.000696313,0.000700139,0.000744065
92,0.001100169,0.000830005,0.000949504,0.000942083
941,0.00066873,0.000958127,0.000863185,0.000942083
EDC1687,0.000889843,0.00066846,0.00081523,0.000822072
875,0.000781983,0.000629467,0.000671366,0.000666059
423,0.000625586,0.000969268,0.000757685,0.000636056
1025,0.000431439,0.000406647,0.000268546,0.00056405
EDC1698,0.000614801,0.000590473,0.000613821,0.000786069
1102,0.001170278,0.001153094,0.000997458,0.001212107
881,0.000728053,0.000635037,0.000594639,0.000738065
585,0.000771197,0.000718595,0.000748094,0.000714063
1098,0.000636372,0.000629467,0.000700139,0.000492043
507,0.000738839,0.000807723,0.000796049,0.00091208
EDC28,0.000911415,0.000824434,0.000796049,0.000870077
EDC1694,0.00052312,0.000601614,0.000652184,0.000504044
1023,0.000657944,0.000657319,0.000661775,0.000870077
EDC12,0.000760411,0.00066289,0.000853594,0.000660058
797,0.000808948,0.000757588,0.000786458,0.000960084
698,0.000749625,0.000540339,0.000585048,0.000588052
EDC50,0.000906022,0.000958127,0.000997458,0.000978086
977,0.000485369,0.000412217,0.000527502,0.000438039
803,0.000463797,0.000479063,0.000537093,0.00057005
934,0.000550085,0.000501345,0.000431593,0.000630055
851,0.000582443,0.000635037,0.000489138,0.000558049
846,0.000485369,0.00044007,0.000412411,0.000414036
932,0.000604015,0.000518057,0.000690548,0.000708062
323,0.000366723,0.000685172,0.000517911,0.000318028
EDC1701,0.000436832,0.000562621,0.000517911,0.00057005
380,0.000959952,0.000752018,0.001045413,0.001122099
1256,0.000706481,0.000545909,0.000633002,0.00068406
568,0.001261959,0.001515177,0.00182228,0.001800158
1076,0.000550085,0.000534768,0.000517911,0.000522046
953,0.00108399,0.00099155,0.000882367,0.001002088
987,0.000560871,0.000529198,0.000556275,0.000576051
821,0.000587836,0.00055148,0.000633002,0.000474042
856,0.00041526,0.000518057,0.000527502,0.000606053
EDC45,0.000593229,0.000479063,0.000680957,0.00056405
EDC11,0.000539299,0.000579332,0.000565866,0.000594052
378,0.000355937,0.000267384,0.000287728,0.000234021
695,0.000695695,0.000729736,0.000757685,0.00079807
837,0.000501548,0.000562621,0.000460365,0.000666059
989,0.000652551,0.000467922,0.000690548,0.000504044
1020,0.000544692,0.000607185,0.000527502,0.000630055
EDC52,0.000582443,0.000579332,0.000431593,0.000540048
EDC48,0.000717267,0.000724165,0.000680957,0.00068406
831,0.000733446,0.000651749,0.000767276,0.000882078
EDC15,0.000582443,0.000568191,0.000517911,0.000702062
EDC1691,0.000490762,0.000573762,0.000422002,0.000486043
847,0.000625586,0.000674031,0.000661775,0.000816072
838,0.000426046,0.000484634,0.000469956,0.000366032
690,0.000625586,0.000540339,0.000422002,0.000444039
887,0.000814341,0.000724165,0.000546684,0.000624055
578,0.000609408,0.000534768,0.000594639,0.000576051
1285,0.000593229,0.000529198,0.000479547,0.000618054
1236,0.000711874,0.000969268,0.000613821,0.000372033
571,0.000604015,0.000735306,0.000652184,0.00067806
807,0.000409867,0.000451211,0.000450774,0.000360032
1018,0.000350544,0.000401076,0.000383638,0.00045604
830,0.000636372,0.000540339,0.000546684,0.000738065
582,0.000506941,0.000540339,0.000431593,0.00067806
1206,0.000625586,0.000412217,0.000623411,0.00045004
#N/A,0.000512334,0.000573762,0.000633002,0.000606053
828,0.000717267,0.000618326,0.000700139,0.000690061
1077,0.000426046,0.000456781,0.000613821,0.000468041
1196,0.000393688,0.00044007,0.000393229,0.000480042
852,0.000781983,0.000791011,0.000680957,0.000864076
1239,0.000377509,0.000434499,0.000335683,0.000420037
1287,0.000431439,0.000590473,0.000441184,0.000432038
1071,0.000372116,0.000534768,0.000537093,0.000402035
788,0.000598622,0.000657319,0.000680957,0.000540048
939,0.000275042,0.00033423,0.000469956,0.000360032
1070,0.000550085,0.000495775,0.000422002,0.000408036
1243,0.000496155,0.000518057,0.000537093,0.000486043
EDC3,0.000846699,0.000835575,0.000613821,0.000774068
1105,0.000852092,0.000757588,0.000786458,0.00067806
855,0.000409867,0.00044564,0.00050832,0.000474042
575,0.000490762,0.000518057,0.000594639,0.000420037
942,0.000674123,0.000635037,0.000949504,0.000666059
366,0.000328972,0.000339801,0.000431593,0.000270024
327,0.000345151,0.000378794,0.000422002,0.000372033
EDC30,0.000285828,0.000412217,0.000326092,0.000372033
EDC31,0.000479976,0.000657319,0.000527502,0.000498044
1163,0.000512334,0.000596044,0.000719321,0.000594052
EDC42,0.000382902,0.00044564,0.00040282,0.000408036
EDC22,0.000382902,0.00044007,0.000354865,0.000468041
699,0.00036133,0.000311948,0.000422002,0.000330029
1017,0.000463797,0.000401076,0.000422002,0.000420037
1292,0.000835913,0.000618326,0.000642593,0.000636056
EDC26,0.000533906,0.000584903,0.000517911,0.000672059
EDC1688,0.000560871,0.000623896,0.000575457,0.000600053
1284,0.000657944,0.000601614,0.000546684,0.000546048
540,0.000630979,0.000540339,0.000364456,0.000546048
951,0.000339758,0.000495775,0.000431593,0.000462041
948,0.000609408,0.000562621,0.000594639,0.000606053
545,0.000479976,0.000512486,0.00040282,0.00045604
1258,0.000420653,0.000490204,0.000527502,0.000414036
EDC41,0.000275042,0.000345371,0.000354865,0.000174015
1286,0.000652551,0.000506916,0.00070973,0.000606053
EDC39,0.000841306,0.000651749,0.00060423,0.000612054
EDC10,0.000275042,0.000417788,0.00030691,0.000216019
790,0.000560871,0.000540339,0.000728912,0.000606053
1208,0.000539299,0.000462352,0.000441184,0.000588052
928,0.000463797,0.0007743,0.000882367,0.000408036
839,0.000501548,0.000713024,0.000450774,0.000504044
583,0.000334365,0.000311948,0.000335683,0.000426037
986,0.000728053,0.000674031,0.000690548,0.000918081
1109,0.000555478,0.000434499,0.000575457,0.000510045
976,0.000479976,0.000389935,0.000450774,0.000426037
979,0.000382902,0.000395506,0.000326092,0.000354031
EDC1708,0.000355937,0.000428929,0.000441184,0.000372033
EDC21,0.00036133,0.000384365,0.000374047,0.000462041
1095,0.000436832,0.000479063,0.000345274,0.000288025
810,0.000431439,0.000423358,0.000412411,0.000426037
844,0.000388295,0.000406647,0.000556275,0.000402035
EDC1705,0.000474583,0.000456781,0.000441184,0.000300026
1101,0.000463797,0.000529198,0.000479547,0.00045604
832,0.000598622,0.000451211,0.000556275,0.000642057
1288,0.000388295,0.000339801,0.000469956,0.000510045
EDC1700,0.000544692,0.000607185,0.000565866,0.000414036
840,0.000501548,0.000417788,0.000441184,0.000384034
1200,0.000663337,0.000690742,0.000652184,0.000732064
EDC1695,0.000442225,0.000412217,0.000498729,0.000402035
843,0.000512334,0.000479063,0.000498729,0.000558049
980,0.000355937,0.000473493,0.000393229,0.000420037
439,0.000393688,0.000490204,0.000335683,0.00045004
981,0.000442225,0.000362083,0.000374047,0.000444039
548,0.000350544,0.000573762,0.000412411,0.000354031
1204,0.00046919,0.000384365,0.000469956,0.00045004
EDC23,0.000404474,0.000635037,0.000565866,0.000510045
156,3.24E-05,2.79E-05,1.92E-05,6.00E-06
1241,0.0003074,0.000462352,0.000383638,0.00034203
429,0.000512334,0.000406647,0.000565866,0.000534047
1238,0.000339758,0.000323089,0.000460365,0.000360032
1234,0.000302007,0.000378794,0.000287728,0.000306027
1237,0.000512334,0.000434499,0.000450774,0.000576051
845,0.000334365,0.000384365,0.000412411,0.000294026
1019,0.00041526,0.000373224,0.000393229,0.000402035
EDC33,0.000226505,0.000183827,0.000172637,0.000138012
946,0.000323579,0.000417788,0.000479547,0.000264023
EDC1686,0.000345151,0.000356512,0.000278137,0.000288025
1244,0.000269649,0.000395506,0.00030691,0.000270024
EDC46,0.000280435,0.000317519,0.000364456,0.000252022
EDC14,0.000291221,0.000278525,0.000258956,0.000246022
1094,0.000350544,0.000490204,0.000393229,0.000300026
1240,0.000264256,0.00022282,0.000172637,0.000216019
1207,0.000555478,0.000590473,0.000469956,0.00057005
1030,0.000339758,0.000245102,0.00030691,0.000384034
1263,0.000501548,0.000434499,0.000297319,0.000444039
584,0.000512334,0.000540339,0.000450774,0.000282025
1193,0.000560871,0.000412217,0.000537093,0.000486043
EDC6,0.000550085,0.000562621,0.000594639,0.000648057
792,0.000350544,0.000467922,0.000498729,0.000378033
1242,0.000334365,0.000267384,0.000479547,0.000168015
1107,0.000512334,0.000467922,0.000422002,0.000432038
1235,0.000248077,0.000250673,0.000230183,0.00022802
EDC1693,0.000382902,0.000423358,0.000249365,0.000288025
543,0.000372116,0.000367653,0.000278137,0.000492043
1231,0.000636372,0.000562621,0.000661775,0.00068406
984,0.000312793,0.000228391,0.000278137,0.000300026
1072,0.000183362,0.000339801,0.000326092,0.000186016
94,0.000199541,0.000206109,0.000268546,0.000240021
#N/A,0.00036133,0.000401076,0.000412411,0.00034203
EDC36,0.000388295,0.000311948,0.00050832,0.000294026
561,0.000388295,0.000423358,0.00030691,0.00034203
560,0.000264256,0.000339801,0.000364456,0.00033603
1048,0.000345151,0.000473493,0.000460365,0.000294026
951,0.000339758,0.000378794,0.000393229,0.000402035
1103,0.000291221,0.00044564,0.000268546,0.000258023
#N/A,0.000593229,0.000423358,0.000460365,0.000384034
EDC17,0.00041526,0.000295237,0.000537093,0.000486043
978,0.000177969,0.000239532,0.000211001,0.000168015
EDC1707,0.000226505,0.000245102,0.000191819,0.000156014
EDC44,0.00025347,0.00022282,0.000182228,0.000162014
EDC53,0.00052312,0.000412217,0.00060423,0.000306027
577,0.000291221,0.000245102,0.00050832,0.000246022
943,0.000210326,0.000339801,0.000364456,0.000204018
834,0.000242684,0.000189397,0.000249365,0.000192017
438,0.000242684,0.000284096,0.000239774,0.00011401
EDC1703,0.000199541,0.000239532,0.000124682,0.000210018
EDC1699,0.000231898,0.000272955,0.000287728,0.00022802
952,0.000323579,0.000356512,0.000278137,0.000324029
EDC18,0.000221112,0.000306378,0.000316501,0.000282025
1075,0.0003074,0.000300807,0.000268546,0.000246022
827,0.000302007,0.000423358,0.000374047,0.000414036
791,0.000156397,0.000144833,0.000172637,0.000138012
198,0.000388295,0.00044007,0.000393229,0.000324029
1110,0.000302007,0.000356512,0.000345274,0.00022802
1021,0.000226505,0.00032866,0.000297319,0.000180016
950,0.000199541,0.000178256,4.80E-05,0.000132012
1093,0.000188755,0.000250673,0.000163046,0.000156014
1029,0.000318186,0.000356512,0.00030691,0.000318028
EDC9,0.000248077,0.000289666,0.000364456,0.000204018
EDC19,0.000118646,0.000183827,0.000153455,0.000144013
1289,0.000226505,0.000250673,0.000239774,0.00033603
1190,0.000151004,0.000150404,8.63E-05,9.00E-05
641,0.000118646,0.00011141,7.67E-05,0.000144013
574,9.71E-05,0.000150404,0.000124682,8.40E-05
#N/A,0.000258863,0.00032866,0.000374047,0.000300026
1205,0.000145611,0.000261814,0.000182228,0.000132012
640,2.70E-05,6.68E-05,0.000115091,5.40E-05
1022,0.000102467,0.000144833,0.000230183,8.40E-05
EDC16,0.000264256,0.000228391,0.000182228,0.000210018
498,0.000140218,0.000211679,0.000268546,0.00011401
377,0.000188755,0.000133692,0.000172637,9.00E-05
1038,5.39E-05,4.46E-05,0.00020141,7.20E-05
441,7.01E-05,0.000139263,0.000220592,0.000120011
202,4.85E-05,4.46E-05,4.80E-05,1.80E-05
88,5.39E-05,7.80E-05,9.59E-05,9.00E-05
EDC32,9.17E-05,7.24E-05,0.000153455,7.20E-05
39,7.01E-05,5.57E-05,0.0001055,9.00E-05
EDC8,0.000204934,0.000278525,0.000287728,0.000240021
275,4.31E-05,4.46E-05,2.88E-05,4.20E-05
334,8.63E-05,0.000150404,7.67E-05,9.60E-05
1233,7.01E-05,4.46E-05,5.75E-05,5.40E-05
182,0.00010786,6.13E-05,8.63E-05,8.40E-05
674,0.000172576,0.000128122,0.000115091,0.000144013
440,2.16E-05,4.46E-05,3.84E-05,6.00E-06
646,6.47E-05,5.01E-05,0.000124682,3.60E-05
1108,5.93E-05,3.90E-05,7.67E-05,1.80E-05
332,9.17E-05,6.13E-05,7.67E-05,1.80E-05
643,8.63E-05,0.00011141,0.000134273,9.60E-05
EDC49,6.47E-05,4.46E-05,3.84E-05,7.20E-05
57,5.39E-05,2.79E-05,6.71E-05,8.40E-05
#N/A,7.01E-05,6.13E-05,3.84E-05,1.20E-05
930,3.24E-05,2.23E-05,8.63E-05,6.00E-06
880,4.31E-05,7.24E-05,7.67E-05,4.20E-05
41,0.000102467,0.00011141,0.000115091,0.00010801
947,2.70E-05,2.23E-05,1.92E-05,1.20E-05
635,4.85E-05,1.67E-05,9.59E-06,2.40E-05
EDC20,4.85E-05,2.23E-05,9.59E-06,3.00E-05
336,0.007205031,0.007631589,,